#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Thu Jun 10 16:30:49 EDT 2021,26,26,DelegatingPainter,A3MainCallsDelegatingViewFactoryMethod+ A3MainCallsObservablePainterFactoryMethod+ DelegatingViewFactoryMethodDefined+ ExistingPaintListener+ NewPaintListener+ ObservablePainterFactoryMethodDefined+ PaintListenerISAPropertyChangeListener+ PaintListenerPaintDefined+ PaintListenerRepaints+ TaggedDelegatingView+ TaggedLocatable+ TaggedObservablePainter+ , , ,A3MainCallsInheritingPainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables GalahadBridgeSceneController InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent LocatablePropertyChangeListenersProperty Locatable_IS_A_PropertyListenerRegisterer RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedInheritingPainter ,0,0,true,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod DelegatingViewFactoryMethodDefined ExistingPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints TaggedDelegatingView TaggedObservablePainter ,,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod DelegatingViewFactoryMethodDefined ExistingPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints TaggedDelegatingView TaggedObservablePainter ,A3MainCallsDelegatingViewFactoryMethod-(2.0/2.0) A3MainCallsObservablePainterFactoryMethod-(2.0/2.0) DelegatingViewFactoryMethodDefined-(2.0/2.0) ExistingPaintListener-(20.0/20.0) ObservablePainterFactoryMethodDefined-(2.0/2.0) PaintListenerISAPropertyChangeListener-(2.0/2.0) PaintListenerPaintDefined-(2.0/2.0) PaintListenerRepaints-(2.0/2.0) TaggedDelegatingView-(2.0/2.0) TaggedObservablePainter-(2.0/2.0) ,,
1,Thu Jun 10 16:31:05 EDT 2021,57,31,BridgeSceneController,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController+ LancelotBridgeSceneController+ NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController+ SceneControllerAccessesArthur+ SceneControllerAccessesGalahad+ SceneControllerAccessesLancelot+ SceneControllerAccessesRobin+ SceneControllerFactoryMethodDefined+ SceneControllerISAKeyListener+ SceneControllerISAMouseListener+ SceneControllerRegistersAsKeyListener+ SceneControllerRegistersAsMouseListener+ TaggedBridgeSceneController+ TaggedDelegatingView TaggedLocatable TaggedObservablePainter , , ,A3MainCallsInheritingPainterFactoryMethod BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent LocatablePropertyChangeListenersProperty Locatable_IS_A_PropertyListenerRegisterer TaggedConsoleSceneView TaggedInheritingPainter ,0,1,true,ArthurBridgeSceneController GalahadBridgeSceneController LancelotBridgeSceneController RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController ,,,ArthurBridgeSceneController-(10.0/10.0) GalahadBridgeSceneController-(10.0/10.0) LancelotBridgeSceneController-(10.0/10.0) RobinBridgeSceneController-(10.0/10.0) SceneControllerAccessesArthur-(2.0/2.0) SceneControllerAccessesGalahad-(2.0/2.0) SceneControllerAccessesLancelot-(2.0/2.0) SceneControllerAccessesRobin-(2.0/2.0) SceneControllerFactoryMethodDefined-(2.0/2.0) SceneControllerISAKeyListener-(2.0/2.0) SceneControllerISAMouseListener-(2.0/2.0) SceneControllerRegistersAsKeyListener-(2.0/2.0) SceneControllerRegistersAsMouseListener-(2.0/2.0) TaggedBridgeSceneController-(2.0/2.0) ,,
2,Thu Jun 10 16:31:23 EDT 2021,68,11,A3Observables,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent+ BoundedShapeInstantiatesPropertyChangeEvent+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent+ LocatableInstantiatesPropertyChangeEvent+ Locatable_IS_A_PropertyListenerRegisterer+ NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,LocatablePropertyChangeListenersProperty+ ,A3MainCallsInheritingPainterFactoryMethod ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedConsoleSceneView TaggedInheritingPainter ,0,2,true,BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent LocatablePropertyChangeListenersProperty Locatable_IS_A_PropertyListenerRegisterer TaggedLocatable ,,,BoundedShapeAnnouncesPropertyChangeEvent-(2.0/2.0) BoundedShapeInstantiatesPropertyChangeEvent-(2.0/2.0) LocatableAnnouncesPropertyChangeEvent-(2.0/2.0) LocatableInstantiatesPropertyChangeEvent-(2.0/2.0) LocatablePropertyChangeListenersProperty-(0.0/2.0) Locatable_IS_A_PropertyListenerRegisterer-(2.0/2.0) TaggedLocatable-(0.0/0.0) ,,
3,Thu Jun 10 16:31:41 EDT 2021,77,9,A3ConsoleSceneView,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene+ ConsoleSceneViewISAPropertyChangeListener+ ConsoleSceneViewPrintsPropertyChangeEvent+ DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView+ TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables+ LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,0,3,true,ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables TaggedConsoleSceneView ,,,ConsoleSceneViewGetsBridgeScene-(2.0/2.0) ConsoleSceneViewISAPropertyChangeListener-(2.0/2.0) ConsoleSceneViewPrintsPropertyChangeEvent-(2.0/2.0) ConsoleSceneViewRegistersWithLocatables-(0.0/2.0) TaggedConsoleSceneView-(2.0/2.0) ,,
4,Thu Jun 10 18:22:21 EDT 2021,67,0,DelegatingPainter,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,1,0,true,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod DelegatingViewFactoryMethodDefined ExistingPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints TaggedDelegatingView TaggedObservablePainter ,,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod DelegatingViewFactoryMethodDefined ExistingPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints TaggedDelegatingView TaggedObservablePainter ,A3MainCallsDelegatingViewFactoryMethod-(2.0/2.0) A3MainCallsObservablePainterFactoryMethod-(2.0/2.0) DelegatingViewFactoryMethodDefined-(2.0/2.0) ExistingPaintListener-(20.0/20.0) ObservablePainterFactoryMethodDefined-(2.0/2.0) PaintListenerISAPropertyChangeListener-(2.0/2.0) PaintListenerPaintDefined-(2.0/2.0) PaintListenerRepaints-(2.0/2.0) TaggedDelegatingView-(2.0/2.0) TaggedObservablePainter-(2.0/2.0) ,,
5,Thu Jun 10 18:22:31 EDT 2021,67,0,A3ConsoleSceneView,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,1,1,true,ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent ConsoleSceneViewRegistersWithLocatables TaggedConsoleSceneView ,,,ConsoleSceneViewGetsBridgeScene-(2.0/2.0) ConsoleSceneViewISAPropertyChangeListener-(2.0/2.0) ConsoleSceneViewPrintsPropertyChangeEvent-(2.0/2.0) ConsoleSceneViewRegistersWithLocatables-(0.0/2.0) TaggedConsoleSceneView-(2.0/2.0) ,,
6,Thu Jun 10 18:22:43 EDT 2021,67,0,BridgeSceneController,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty ,A3MainCallsInheritingPainterFactoryMethod AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TableIsGeneric TableSemantics TaggedInheritingPainter TaggedTable ,1,2,true,ArthurBridgeSceneController GalahadBridgeSceneController LancelotBridgeSceneController RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController ,,,ArthurBridgeSceneController-(10.0/10.0) GalahadBridgeSceneController-(10.0/10.0) LancelotBridgeSceneController-(10.0/10.0) RobinBridgeSceneController-(10.0/10.0) SceneControllerAccessesArthur-(2.0/2.0) SceneControllerAccessesGalahad-(2.0/2.0) SceneControllerAccessesLancelot-(2.0/2.0) SceneControllerAccessesRobin-(2.0/2.0) SceneControllerFactoryMethodDefined-(2.0/2.0) SceneControllerISAKeyListener-(2.0/2.0) SceneControllerISAMouseListener-(2.0/2.0) SceneControllerRegistersAsKeyListener-(2.0/2.0) SceneControllerRegistersAsMouseListener-(2.0/2.0) TaggedBridgeSceneController-(2.0/2.0) ,,
7,Thu Jun 10 18:22:56 EDT 2021,71,4,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled+ BridgeSceneStringApproachMethodDefined+ ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined+ BridgeSceneCallsAvatarTableFactoryMethod+ ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric+ TableSemantics+ TaggedTable+ ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,1,3,true,AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined TableIsGeneric TableSemantics TaggedTable ,,,AvatarTableFactoryMethodDefined-(0.0/2.0) BridgeSceneAvatarApproachCalled-(2.0/2.0) BridgeSceneCallsAvatarTableFactoryMethod-(0.0/2.0) BridgeSceneStringApproachMethodDefined-(2.0/2.0) TableIsGeneric-(0.0/10.0) TableSemantics-(0.0/25.0) TaggedTable-(0.0/2.0) ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod TableIsGeneric ,
8,Thu Jun 10 18:25:41 EDT 2021,71,0,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled BridgeSceneStringApproachMethodDefined ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric TableSemantics TaggedTable ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,2,0,true,AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined TableIsGeneric TableSemantics TaggedTable ,,,AvatarTableFactoryMethodDefined-(0.0/2.0) BridgeSceneAvatarApproachCalled-(2.0/2.0) BridgeSceneCallsAvatarTableFactoryMethod-(0.0/2.0) BridgeSceneStringApproachMethodDefined-(2.0/2.0) TableIsGeneric-(0.0/10.0) TableSemantics-(0.0/25.0) TaggedTable-(0.0/2.0) ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod TableIsGeneric ,
9,Thu Jun 10 18:28:22 EDT 2021,71,0,Table,A3MainCallsDelegatingViewFactoryMethod A3MainCallsObservablePainterFactoryMethod ArthurBridgeSceneController BoundedShapeAnnouncesPropertyChangeEvent BoundedShapeInstantiatesPropertyChangeEvent BridgeSceneAvatarApproachCalled BridgeSceneStringApproachMethodDefined ConsoleSceneViewGetsBridgeScene ConsoleSceneViewISAPropertyChangeListener ConsoleSceneViewPrintsPropertyChangeEvent DelegatingViewFactoryMethodDefined ExistingPaintListener GalahadBridgeSceneController LancelotBridgeSceneController LocatableAnnouncesPropertyChangeEvent LocatableInstantiatesPropertyChangeEvent Locatable_IS_A_PropertyListenerRegisterer NewPaintListener ObservablePainterFactoryMethodDefined PaintListenerISAPropertyChangeListener PaintListenerPaintDefined PaintListenerRepaints RobinBridgeSceneController SceneControllerAccessesArthur SceneControllerAccessesGalahad SceneControllerAccessesLancelot SceneControllerAccessesRobin SceneControllerFactoryMethodDefined SceneControllerISAKeyListener SceneControllerISAMouseListener SceneControllerRegistersAsKeyListener SceneControllerRegistersAsMouseListener TaggedBridgeSceneController TaggedConsoleSceneView TaggedDelegatingView TaggedLocatable TaggedObservablePainter , ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod ConsoleSceneViewRegistersWithLocatables LocatablePropertyChangeListenersProperty TableIsGeneric TableSemantics TaggedTable ,A3MainCallsInheritingPainterFactoryMethod InheritingPainterDraws InheritingPainterFactoryMethodDefined InheritingPainterPaintDefined InheritingPainterRegistersWithLocatables InheritingPainterRepaints InheritingViewISAPropertyChangeListener TaggedInheritingPainter ,3,0,true,AvatarTableFactoryMethodDefined BridgeSceneAvatarApproachCalled BridgeSceneCallsAvatarTableFactoryMethod BridgeSceneStringApproachMethodDefined TableIsGeneric TableSemantics TaggedTable ,,,AvatarTableFactoryMethodDefined-(0.0/2.0) BridgeSceneAvatarApproachCalled-(2.0/2.0) BridgeSceneCallsAvatarTableFactoryMethod-(0.0/2.0) BridgeSceneStringApproachMethodDefined-(2.0/2.0) TableIsGeneric-(0.0/10.0) TableSemantics-(0.0/25.0) TaggedTable-(0.0/2.0) ,AvatarTableFactoryMethodDefined BridgeSceneCallsAvatarTableFactoryMethod TableIsGeneric ,
