Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Jun 11 22:01:18 EDT 2021,Assignment3.java,1623463278167,78033,0,(F)1(I)3(R)1(I)6,0.8181818181818182,0.0,0.0,9.090909090909092,0.0,0.0,0.14102564102564102,0.0,0.0,0.01282051282051282,0.0,0.01282051282051282,0.11538461538461539,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Jun 11 22:01:18 EDT 2021,Assignment3.java, 1623463278167
2,,Fri Jun 11 22:02:36 EDT 2021,Assignment3.java,1623463356551,4132,4132,(R)2(I)9(R)2(I)7(R)2(I)2,0.75,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.5,4.5,0.0,[]
3,,Fri Jun 11 22:02:41 EDT 2021,Assignment3.java,1623463361502,41499,0,(I)2(R)4(I)10(R)2(I)2,0.7,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.0,0.0,0.0,0.0,0.14634146341463414,0.34146341463414637,0.0,[]
4,,Fri Jun 11 22:03:23 EDT 2021,Assignment3.java,1623463403060,5802,5802,(I)10(R)2(I)4(R)1(I)1(R)1(I)1(R)1(I)2(R)1(I)1,0.76,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.2,3.8,0.0,[]
5,,Fri Jun 11 22:03:31 EDT 2021,Assignment3.java,1623463411461,4366,4366,(R)1(I)3(R)1(I)10(R)1(I)5,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.75,4.5,0.0,[]
6,,Fri Jun 11 22:03:35 EDT 2021,Assignment3.java,1623463415863,7157,7157,(R)1(I)1(R)1(I)8(R)6(I)7,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,1.1428571428571428,2.2857142857142856,0.0,[]
7,,Fri Jun 11 22:03:43 EDT 2021,Assignment3.java,1623463423032,44187,0,(I)6(F)2(I)5,0.8461538461538461,0.0,0.0,15.384615384615385,0.0,0.0,0.29545454545454547,0.0,0.0,0.045454545454545456,0.0,0.0,0.25,0.0,[]
8,,Fri Jun 11 22:04:27 EDT 2021,Assignment3.java,1623463467955,5894,5894,(I)19(R)1(I)2(R)1,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.4,4.2,0.0,[]
9,,Fri Jun 11 22:04:35 EDT 2021,Assignment3.java,1623463475577,12324,0,(I)2(R)1(I)2(R)2(I)16,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,0.0,0.0,0.0,0.25,1.6666666666666667,0.0,[]
10,,Fri Jun 11 22:04:48 EDT 2021,Assignment3.java,1623463488021,-14174,-14174,(R)1(I)7(R)1(I)1(R)1(I)1(R)1(I)4(R)1(I)1(R)1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
11,,Fri Jun 11 22:04:35 EDT 2021,Assignment3.java,1623463475577,33697,0,(I)1(R)1(I)1(R)1(I)1(R)1(I)2(R)2(I)1(R)7(I)1,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.5757575757575758,0.0,0.0,0.0,0.0,0.36363636363636365,0.21212121212121213,0.0,[]
12,,Fri Jun 11 22:05:09 EDT 2021,ABridgeSceneView.java,1623463509274,67051,0,(F)2(I)7,0.7777777777777778,0.0,0.0,22.22222222222222,0.0,0.0,0.13432835820895522,0.0,0.0,0.029850746268656716,0.0,0.0,0.1044776119402985,0.0,[]
