Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
mp.bridgeSceneFigures.AnAreaPainter,an:area:painter,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,$java.awt.Graphics2D,graphics,java.awt.Graphics2D,graphics,drawOval,draw:oval
mp.bridgeSceneFigures.AnAreaPainter,an:area:painter,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,propertyChange,property:change,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.ABridgeScenePainter,a:bridge:scene:painter,@Comp301Tags.OBSERVABLE_BRIDGE_SCENE_PAINTER,comp:tags:observable:bridge:scene:painter,repaint,repaint
mp.bridgeSceneFigures.AnAreaPainter,an:area:painter,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,propertyChange,property:change,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,bus.uigen.ObjectEditor,object:editor,bus.uigen.ObjectEditor,object:editor,edit,edit
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.AFactory,a:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,bridgeSceneFactoryMethod,bridge:scene:factory:method
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.AFactory,a:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,delegatingBridgeSceneViewFactoryMethod,delegating:bridge:scene:view:factory:method
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.AFactory,a:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,observableBridgeScenePainterFactoryMethod,observable:bridge:scene:painter:factory:method
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.ATable,a:table,@Comp301Tags.TABLE,comp:tags:table,ATable,a:table
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.Table,table,@Comp301Tags.TABLE,comp:tags:table,put,put
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.AFactory,a:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,getArthur,get:arthur
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.bridgeSceneFigures.AFactory,a:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,bridgeSceneFactoryMethod,bridge:scene:factory:method
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.Table,table,@Comp301Tags.TABLE,comp:tags:table,get,get
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.ATable,a:table,@Comp301Tags.TABLE,comp:tags:table,ATable,a:table
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.Table,table,@Comp301Tags.TABLE,comp:tags:table,put,put
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
main.Assignment3,assignment,Assignment3,assignment,main,main,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:paint:listener:property:change:listener:event:listener,mp.table.Table,table,@Comp301Tags.TABLE,comp:tags:table,get,get
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,readyGuard,ready:guard,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,setPosition,set:position
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,readyGuard,ready:guard,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABridgeScene,a:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getGuard,get:guard
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,readyGuard,ready:guard,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,xGuard,x:guard
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,readyGuard,ready:guard,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,yGuard,y:guard
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,approach,approach,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getOccupied,get:occupied
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,approach,approach,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.Avatar,avatar,@Comp301Tags.AVATAR,comp:tags:avatar,setPosition,set:position
mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,approach,approach,@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.BRIDGE_SCENE:@Comp301Tags.BRIDGE_SCENE,comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:bridge:scene:comp:tags:bridge:scene,mp.bridgeSceneFigures.ABetterBridgeScene,a:better:bridge:scene,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,xKnight,x:knight
